cd_Ugestora,dt_Ano,de_Ugestora,Eleito,Classe
201064,2013,COXIXOLA,GIVALDO LIMEIRA DE FARIAS,NAO IRREGULAR
201065,2009,CRUZ DO ESPIRITO SANTO,RAFAEL FERNANDES DE CARVALHO JUNIOR,IRREGULAR
201065,2013,CRUZ DO ESPIRITO SANTO,PEDRO GOMES PEREIRA,NAO IRREGULAR
201066,2009,CUBATI,DIMAS PEREIRA DA SILVA,IRREGULAR
201066,2013,CUBATI,EDUARDO RONIELLE GUIMARAES MARTINS DANTAS,NAO IRREGULAR
201067,2009,CUITE,EUDA FABIANA DE FARIAS PALMEIRA VENANCIO,IRREGULAR
201067,2013,CUITE,EUDA FABIANA DE FARIAS PALMEIRA VENANCIO,NAO IRREGULAR
201068,2009,CUITE DE MAMANGUAPE,ISAURINA DOS SANTOS MEIRELES FILHA,NAO IRREGULAR
201068,2013,CUITE DE MAMANGUAPE,ISAURINA SANTOS MEIRELES DE BRITO,NAO IRREGULAR
201069,2009,CUITEGI,EDNALDO PAULO LINO,NAO IRREGULAR
201069,2013,CUITEGI,GUILHERME CUNHA MADRUGA JUNIOR,NAO IRREGULAR
201070,2009,CURRAL DE CIMA,NADIR FERNANDES DE FARIAS,IRREGULAR
201070,2013,CURRAL DE CIMA,NADIR FERNANDES DE FARIAS,IRREGULAR
201071,2009,CURRAL VELHO,LUIZ ALVES BARBOSA,IRREGULAR
201071,2013,CURRAL VELHO,JOAQUIM ALVES BARBOSA FILHO,IRREGULAR
201072,2009,DAMIAO,MARIA ELEONORA SOARES,IRREGULAR
201072,2013,DAMIAO,LUCILDO FERNANDES DE OLIVEIRA,NAO IRREGULAR
201073,2009,DESTERRO,DILSON DE ALMEIDA,NAO IRREGULAR
201073,2013,DESTERRO,ROSANGELA DE FATIMA LEITE,NAO IRREGULAR
201074,2009,DIAMANTE,HERCULES BARROS MANGUEIRA DINIZ,NAO IRREGULAR
201074,2013,DIAMANTE,MARCILIA MANGUEIRA GUIMARAES,IRREGULAR
201075,2009,DONA INES,ANTONIO JUSTINO DE ARAUJO NETO,NAO IRREGULAR
201075,2013,DONA INES,ANTONIO JUSTINO DE ARAUJO NETO,NAO IRREGULAR
201076,2009,DUAS ESTRADAS,ROBERTO CARLOS NUNES,NAO IRREGULAR
201076,2013,DUAS ESTRADAS,EDSON GOMES DE LUNA,NAO IRREGULAR
201077,2009,EMAS,FERNANDA MARIA MARINHO DE MEDEIROS LOUREIRO,NAO IRREGULAR
201077,2013,EMAS,JOSE WILLIAM SEGUNDO MADRUGA,NAO IRREGULAR
201078,2009,ESPERANCA,NOBSON PEDRO DE ALMEIDA,IRREGULAR
201078,2013,ESPERANCA,ANDERSON MONTEIRO COSTA,NAO IRREGULAR
201079,2009,FAGUNDES,GILBERTO MUNIZ DANTAS,IRREGULAR
201079,2013,FAGUNDES,JOSE PEDRO DA SILVA,IRREGULAR
201080,2009,FREI MARTINHO,FRANCIVALDO SANTOS DE ARAUJO,IRREGULAR
201080,2013,FREI MARTINHO,AGUIFAILDO LIRA DANTAS,NAO IRREGULAR
201081,2009,GADO BRAVO,AUSTERLIANO EVALDO ARAUJO,NAO IRREGULAR
201081,2013,GADO BRAVO,AUSTERLIANO EVALDO ARAUJO,NAO IRREGULAR
201082,2009,GUARABIRA,MARIA DE FATIMA DE AQUINO PAULINO,NAO IRREGULAR
201082,2013,GUARABIRA,ZENOBIO TOSCANO DE OLIVEIRA,IRREGULAR
201083,2009,GURINHEM,CLAUDINO CESAR FREIRE,IRREGULAR
201083,2013,GURINHEM,TARCISIO SAULO DE PAIVA,IRREGULAR
201084,2009,GURJAO,JOSE MARTINHO CANDIDO DE CASTRO,IRREGULAR
201084,2013,GURJAO,RONALDO RAMOS DE QUEIROZ,NAO IRREGULAR
201085,2009,IBIARA,PEDRO FEITOZA LEITE,NAO IRREGULAR
201085,2013,IBIARA,PEDRO FEITOZA LEITE,NAO IRREGULAR
201086,2009,IGARACY,JUCELINO LIMA DE FARIAS,NAO IRREGULAR
201086,2013,IGARACY,DEUSALEIDE JERONIMO LEITE,NAO IRREGULAR
201087,2009,IMACULADA,JOSE RIBAMAR DA SILVA,IRREGULAR
201087,2013,IMACULADA,ALDO LUSTOSA DA SILVA,IRREGULAR
201088,2009,INGA,LUIZ CARLOS MONTEIRO DA SILVA,IRREGULAR
201088,2013,INGA,MANOEL BATISTA CHAVES FILHO,IRREGULAR
201089,2009,ITABAIANA,EURIDICE MOREIRA DA SILVA,NAO IRREGULAR
201089,2013,ITABAIANA,ANTONIO CARLOS RODRIGUES DE MELO JUNIOR,IRREGULAR
201090,2009,ITAPORANGA,DJACI FARIAS BRASILEIRO,NAO IRREGULAR
201090,2013,ITAPORANGA,AUDIBERG ALVES DE CARVALHO,NAO IRREGULAR
201091,2009,ITAPOROROCA,CELSO DE MORAIS ANDRADE NETO,IRREGULAR
201091,2013,ITAPOROROCA,CELSO DE MORAIS ANDRADE NETO,NAO IRREGULAR
201092,2009,ITATUBA,RENATO LACERDA MARTINS,IRREGULAR
201092,2013,ITATUBA,ARON RENE MARTINS DE ANDRADE,IRREGULAR
201093,2009,JACARAU,MARIA CRISTINA DA SILVA,IRREGULAR
201093,2013,JACARAU,JOAO RIBEIRO FILHO,IRREGULAR
201094,2009,JERICO,RINALDO DE OLIVEIRA SOUZA,NAO IRREGULAR
201094,2013,JERICO,CLAUDEEIDE DE OLIVEIRA MELO,NAO IRREGULAR
201095,2009,JOAO PESSOA,RICARDO VIEIRA COUTINHO,IRREGULAR
201095,2013,JOAO PESSOA,LUCIANO CARTAXO PIRES DE SA,NAO IRREGULAR
201096,2009,JUAREZ TAVORA,JOSE ALVES FEITOSA,IRREGULAR
201096,2013,JUAREZ TAVORA,MARIA ANA FARIAS DOS SANTOS,NAO IRREGULAR
201097,2009,JUAZEIRINHO,BEVILACQUA MATIAS MARACAJA,IRREGULAR
201097,2013,JUAZEIRINHO,CARLEUSA CASTRO MARQUES DE OLIVEIRA RAULINO,NAO IRREGULAR
201098,2009,JUNCO DO SERIDO,COSMO SIMOES DE MEDEIROS,IRREGULAR
201098,2013,JUNCO DO SERIDO,COSMO SIMOES DE MEDEIROS,NAO IRREGULAR
201099,2009,JURIPIRANGA,ANTONIO MAROJA GUEDES FILHO,IRREGULAR
201099,2013,JURIPIRANGA,PAULO DALIA TEIXEIRA,NAO IRREGULAR
201100,2009,JURU,JOSE ORLANDO TEOTONIO,IRREGULAR
201100,2013,JURU,LUIZ GALVAO DA SILVA,IRREGULAR
201101,2009,LAGOA,MAGNO DEMYS DE OLIVEIRA BORGES,IRREGULAR
201101,2013,LAGOA,MAGNO DEMYS DE OLIVEIRA BORGES,IRREGULAR
201102,2009,LAGOA DE DENTRO,SUELI MADRUGA FREIRE,IRREGULAR
201102,2013,LAGOA DE DENTRO,FABIANO PEDRO DA SILVA,NAO IRREGULAR
201103,2009,LAGOA SECA,EDVARDO HERCULANO DE LIMA,IRREGULAR
201103,2013,LAGOA SECA,JOSE TADEU SALES DE LUNA,NAO IRREGULAR
201104,2009,LASTRO,JOSE VIVALDO DINIZ,IRREGULAR
201104,2013,LASTRO,WILMESON EMMANUEL MENDES SARMENTO,IRREGULAR
201105,2009,LIVRAMENTO,JARBAS CORREIA BEZERRA,IRREGULAR
201105,2013,LIVRAMENTO,CARMELITA ESTEVAO VENTURA SOUSA,IRREGULAR
201106,2009,LOGRADOURO,HUMBERTO LUIS LISBOA ALVES,NAO IRREGULAR
201106,2013,LOGRADOURO,CELIA MARIA DE QUEIROZ CARVALHO,NAO IRREGULAR
201107,2009,LUCENA,ANTONIO MENDONCA MONTEIRO JUNIOR,NAO IRREGULAR
201107,2013,LUCENA,MARCELO SALES DE MENDONCA,NAO IRREGULAR
201108,2009,MAE D'AGUA,PERICLES VIANA DE OLIVEIRA JUNIOR,NAO IRREGULAR
201108,2013,MAE D'AGUA,MARGARIDA MARIA FRAGOSO SOARES,NAO IRREGULAR
201109,2009,MALTA,AJACIO GOMES WANDERLEY,IRREGULAR
201109,2013,MALTA,MANOEL BENEDITO DE LUCENA FILHO,IRREGULAR
201110,2009,MAMANGUAPE,EDUARDO CARNEIRO DE BRITO,IRREGULAR
201110,2013,MAMANGUAPE,EDUARDO CARNEIRO DE BRITO,NAO IRREGULAR
201111,2009,MANAIRA,JOSE SIMAO DE SOUSA,NAO IRREGULAR
201111,2013,MANAIRA,JOSE SIMAO DE SOUSA,NAO IRREGULAR
201112,2009,MARCACAO,ADRIANO DE OLIVEIRA BARRETO,NAO IRREGULAR
201112,2013,MARCACAO,ADRIANO DE OLIVEIRA BARRETO,IRREGULAR
201113,2009,MARI,ANTONIO GOMES DA SILVA,NAO IRREGULAR
201113,2013,MARI,MARCOS AURELIO MARTINS DE PAIVA,NAO IRREGULAR
201114,2009,MARIZOPOLIS,JOSE VIEIRA DA SILVA,IRREGULAR
201114,2013,MARIZOPOLIS,JOSE VIEIRA DA SILVA,NAO IRREGULAR
201115,2009,MASSARANDUBA,PAULO FRACINETTE DE OLIVEIRA,IRREGULAR
201115,2013,MASSARANDUBA,JOANA DARC QUEIROGA MENDONCA COUTINHO,IRREGULAR
201116,2009,MATARACA,JOAO MADRUGA DA SILVA,NAO IRREGULAR
201116,2013,MATARACA,OLIMPIO DE ALENCAR ARAUJO BEZERRA,NAO IRREGULAR
201117,2009,MATINHAS,JOSE COSTA ARAGAO JUNIOR,NAO IRREGULAR
201117,2013,MATINHAS,MARIA DE FATIMA SILVA,IRREGULAR
201118,2009,MATO GROSSO,KATSONARA SOARES DE ANDRADE MONTEIRO,NAO IRREGULAR
201118,2013,MATO GROSSO,RAELLYSON RODRIGO OLIVEIRA MONTEIRO,NAO IRREGULAR
201119,2009,MATUREIA,DANIEL DANTAS WANDERLEY,NAO IRREGULAR
201119,2013,MATUREIA,DANIEL DANTAS WANDERLEY,NAO IRREGULAR
201120,2009,MOGEIRO,ANTONIO JOSE FERREIRA,IRREGULAR
201120,2013,MOGEIRO,ANTONIO JOSE FERREIRA,IRREGULAR
201121,2009,MONTADAS,LINDEMBERGUE SOUZA SILVA,NAO IRREGULAR
201121,2013,MONTADAS,JAIRO HERCULANO DE MELO,NAO IRREGULAR
201122,2009,MONTE HOREBE,ERIVAN DIAS GUARITA,IRREGULAR
201122,2013,MONTE HOREBE,CLAUDIA APARECIDA DIAS,NAO IRREGULAR
