de_Ugestora,cd_Ugestora,dt_Ano,ELEITO,Classe,Candidato2016,nu_Dispensas,nu_Aditivo_Prazo,nu_Aditivo_Devolucao,nu_Aditivo_Valor,nu_Aditivos_Totais,nu_Contrato,Quantidade2009,Quantidade2013,DistanciaParaCapital,Media
GADO BRAVO,201081,2009,AUSTERLIANO EVALDO ARAUJO,Nao julgado,FALSE,1,8,0,10,18,32,5.496,6.82,185,6.158
GADO BRAVO,201081,2013,AUSTERLIANO EVALDO ARAUJO,Nao julgado,FALSE,8,17,0,19,36,36,5.496,6.82,185,6.158
IBIARA,201085,2009,PEDRO FEITOZA LEITE,Nao julgado,FALSE,2,0,0,0,0,85,4.408,5.084,467,4.746
IBIARA,201085,2013,PEDRO FEITOZA LEITE,Nao julgado,FALSE,13,6,0,11,17,12,4.408,5.084,467,4.746
IGARACY,201086,2013,DEUSALEIDE JERONIMO LEITE,Nao julgado,FALSE,4,13,0,16,29,5,5.41,5.642,427,5.526
IGARACY,201086,2009,JUCELINO LIMA DE FARIAS,Nao julgado,FALSE,0,2,0,8,10,128,5.41,5.642,427,5.526
ITAPORANGA,201090,2009,DJACI FARIAS BRASILEIRO,Nao julgado,FALSE,2,4,0,5,9,162,16.129,16.946,428,16.5375
ITAPORANGA,201090,2013,AUDIBERG ALVES DE CARVALHO,Nao julgado,FALSE,65,46,0,51,97,37,16.129,16.946,428,16.5375
LOGRADOURO,201106,2013,CELIA MARIA DE QUEIROZ CARVALHO,Nao julgado,FALSE,58,12,1,30,43,22,2.727,3.123,134,2.925
LOGRADOURO,201106,2009,HUMBERTO LUIS LISBOA ALVES,Nao julgado,FALSE,76,6,0,25,31,271,2.727,3.123,134,2.925
LUCENA,201107,2013,MARCELO SALES DE MENDONCA,Nao julgado,FALSE,2,5,0,16,21,15,9.341,10.123,54.6,9.732
MAMANGUAPE,201110,2013,EDUARDO CARNEIRO DE BRITO,Nao julgado,FALSE,42,18,0,177,195,30,29.212,32.183,59.5,30.6975
MARI,201113,2013,MARCOS AURELIO MARTINS DE PAIVA,Nao julgado,TRUE,34,25,1,39,65,52,15.349,16.463,76.4,15.906
MATARACA,201116,2013,OLIMPIO DE ALENCAR ARAUJO BEZERRA,Nao julgado,TRUE,4,47,1,58,106,46,5.541,6.391,103,5.966
MATO GROSSO,201118,2013,RAELLYSON RODRIGO OLIVEIRA MONTEIRO,Nao julgado,FALSE,1,10,0,11,21,2,1.772,2.422,426,2.097
MONTADAS,201121,2013,JAIRO HERCULANO DE MELO,Nao julgado,TRUE,24,14,0,15,29,25,3.21,3.873,166,3.5415
MONTE HOREBE,201122,2013,CLAUDIA APARECIDA DIAS,Nao julgado,TRUE,9,4,0,26,30,18,3.183,3.824,491,3.5035
MONTEIRO,201123,2013,EDNACE ALVES SILVESTRE HENRIQUE,Nao julgado,FALSE,22,51,0,62,113,25,22.153,23.667,311,22.91
MULUNGU,201124,2013,JOANA DARC RODRIGUES BANDEIRA FERRAZ,Nao julgado,FALSE,8,11,0,16,27,24,7.528,8.424,90.5,7.976
NATUBA,201125,2009,JOSEVALDO ALVES DA SILVA,Nao julgado,FALSE,0,3,0,18,21,109,6.56,6.632,159,6.596
NATUBA,201125,2013,JOSE LINS DA SILVA FILHO,Nao julgado,FALSE,21,41,0,75,116,4,6.56,6.632,159,6.596
OLHO D'ÁGUA,201130,2009,FRANCISCO DE ASSIS CARVALHO,Nao julgado,FALSE,2,1,0,4,5,105,0,0,0,0
OLHO D'ÁGUA,201130,2013,FRANCISCO DE ASSIS CARVALHO,Nao julgado,FALSE,6,5,0,9,14,15,0,0,0,0
OLIVEDOS,201131,2009,JOSIMAR GONCALVES COSTA,Nao julgado,FALSE,10,1,0,2,3,84,2.756,3.243,200,2.9995
OLIVEDOS,201131,2013,GRIGORIO DE ALMEIDA SOUTO,Nao julgado,TRUE,10,7,0,8,15,48,2.756,3.243,200,2.9995
PARARI,201133,2009,SOLANGE AIRES CALUETE GUIMARAES,Nao julgado,FALSE,0,2,0,11,13,179,1.513,1.891,244,1.702
PARARI,201133,2013,JOSE JOSEMAR FERREIRA DE SOUZA,Nao julgado,FALSE,11,14,0,15,29,34,1.513,1.891,244,1.702
PASSAGEM,201134,2009,AGAMENON BALDUINO DA NOBREGA,Nao julgado,FALSE,4,14,0,28,42,214,1.991,2.184,282,2.0875
PASSAGEM,201134,2013,MAGNO SILVA MARTINS,Nao julgado,TRUE,21,17,0,17,34,13,1.991,2.184,282,2.0875
PATOS,201135,2009,NABOR WANDERLEY DA NOBREGA FILHO,Nao julgado,FALSE,574,26,0,51,77,437,65.386,66.617,317,66.0015
PATOS,201135,2013,FRANCISCA GOMES ARAUJO MOTTA,Nao julgado,FALSE,99,86,2,93,181,1,65.386,66.617,317,66.0015
PEDRA BRANCA,201137,2013,JOSE DE ANCHIETA NOIA,Nao julgado,FALSE,9,27,0,51,78,18,2.999,3.414,446,3.2065
PEDRA BRANCA,201137,2009,JOSE DE ANCHIETA NOIA,Nao julgado,FALSE,0,16,0,34,50,252,2.999,3.414,446,3.2065
PRATA,201152,2013,ANTONIO COSTA NOBREGA JUNIOR,Nao julgado,FALSE,17,8,0,9,17,49,3.079,3.491,135,3.285
PRATA,201152,2009,MARCEL NUNES DE FARIAS,Nao julgado,FALSE,1,6,0,6,12,198,3.079,3.491,135,3.285
RIO TINTO,201163,2013,SEVERINA FERREIRA ALVES,Nao julgado,FALSE,8,17,0,37,54,51,17.471,18.119,67.3,17.795
RIO TINTO,201163,2009,MAGNA CELI FERNANDES GERBASI,Nao julgado,FALSE,36,22,0,76,98,267,17.471,18.119,67.3,17.795
SALGADINHO,201164,2009,DEBORA CRISTIANE FARIAS MORAIS,Nao julgado,FALSE,0,0,0,0,0,1,2.556,2.716,254,2.636
SALGADINHO,201164,2013,DEBORA CRISTIANE FARIAS MORAIS,Nao julgado,FALSE,12,15,0,17,32,37,2.556,2.716,254,2.636
SANTA HELENA,201168,2013,EMMANUEL FELIPE LUCENA MESSIAS,Nao julgado,TRUE,5,6,0,9,15,9,5.041,5.411,504,5.226
SANTA HELENA,201168,2009,ELAIR DINIZ BRASILEIRO,Nao julgado,FALSE,2,0,0,0,0,205,5.041,5.411,504,5.226
SANTA LUZIA,201170,2009,JOSE ADEMIR PEREIRA DE MORAIS,Nao julgado,FALSE,85,64,0,148,212,307,11.273,11.433,273,11.353
SANTA LUZIA,201170,2013,JOSE ADEMIR PEREIRA DE MORAIS,Nao julgado,FALSE,61,79,0,123,202,18,11.273,11.433,273,11.353
SANTA TERESINHA,201172,2009,DAVI CORDEIRO DE OLIVEIRA,Nao julgado,FALSE,10,34,0,65,99,209,3.744,4.544,337,4.144
SANTA TERESINHA,201172,2013,JOSE DE ARIMATEIA NUNES CAMBOIM,Nao julgado,FALSE,16,70,0,79,149,14,3.744,4.544,337,4.144
SERRARIA,201205,2009,SEVERINO FERREIRA DA SILVA,Nao julgado,FALSE,0,9,0,12,21,87,4.192,4.666,136,4.429
SERRARIA,201205,2013,SEVERINO FERREIRA DA SILVA,Nao julgado,FALSE,0,9,0,12,21,13,4.192,4.666,136,4.429
SOBRADO,201207,2009,CELIA MARIA DE OLIVEIRA MELO,Nao julgado,FALSE,0,0,0,0,0,28,6.229,6.641,58.9,6.435
SOBRADO,201207,2013,GEORGE JOSE PORCIUNCULA PEREIRA COELHO,Nao julgado,FALSE,10,11,0,46,57,48,6.229,6.641,58.9,6.435
SOUSA,201211,2009,FABIO TYRONE BRAGA DE OLIVEIRA,Nao julgado,FALSE,260,53,0,128,181,333,45.161,46.854,444,46.0075
SOUSA,201211,2013,ANDRE AVELINO DE PAIVA GADELHA NETO,Nao julgado,TRUE,112,41,3,65,109,27,45.161,46.854,444,46.0075
TACIMA,201051,2013,ERIVAN BEZERRA DANIEL,Nao julgado,TRUE,20,38,0,38,76,28,0,0,0,0
VISTA SERRANA,201222,2009,JURANDY ARAUJO DA SILVA,Nao julgado,FALSE,6,11,0,16,27,202,2.43,2.865,369,2.6475
VISTA SERRANA,201222,2013,JURANDY ARAUJO DA SILVA,Nao julgado,FALSE,11,46,0,47,93,5,2.43,2.865,369,2.6475
