de_Ugestora,ELEITO
SOLÂNEA,KAYSER NOGUEIRA PINTO ROCHA
SOLÂNEA,GISELIANE AZEVEDO FERNANDES GOMES
SOLÂNEA,DAVID GOMES DE LIMA
SOSSÊGO,LUSINEIDE OLIVEIRA LIMA
SOSSÊGO,SAMUEL FERREIRA DA SILVA
SOUSA,ANDRE AVELINO DE PAIVA GADELHA NETO
SOUSA,FÁBIO TYRONE BRAGA DE OLIVEIRA
SUMÉ,IVANDRO OLIVEIRA DE ARAUJO
SUMÉ,ELIAS ANTONIO FREIRE
SUMÉ,EDEN DUARTE PINTO DE SOUSA
SÃO BENTINHO,GIOVANA LEITE CAVALCANTI OLIMPIO
SÃO BENTINHO,KLEITON DE ALMEIDA CARREIRO
SÃO BENTO,GEMILTON SOUZA DA SILVA
SÃO BENTO,JARQUES LUCIO DA SILVA II
SÃO DOMINGOS DE POMBAL,ODAISA DE CASSIA QUEIROGA DA SILVA NÓBREGA
SÃO DOMINGOS DE POMBAL,LEONARDO ALVES DA NÓBREGA
SÃO DOMINGOS DO CARIRI,INARA MARINHO FERREIRA DA SILVA
SÃO DOMINGOS DO CARIRI,MANOEL HOSTIO FILHO
SÃO FRANCISCO,JOÃO BOSCO GADELHA DE OLIVEIRA FILHO
SÃO FRANCISCO,GERONCIO SUCUPIRA JUNIOR
SÃO JOSÉ DA LAGOA TAPADA,CLAUDIO ANTONIO MARQUES DE SOUSA
SÃO JOSÉ DA LAGOA TAPADA,FRANCISCO JUCELIO DE SA
SÃO JOSÉ DE CAIANA,JOSE LEITE SOBRINHO
SÃO JOSÉ DE CAIANA,CÁSSIA MARIA LOPES DE ALMEIDA
SÃO JOSÉ DE ESPINHARAS,RENE TRIGUEIRO CAROCA
SÃO JOSÉ DE ESPINHARAS,ANTONIO GOMES DA COSTA NETTO
SÃO JOSÉ DE PIRANHAS,CLÓVIS BARBOSA GONÇALVES
SÃO JOSÉ DE PIRANHAS,ANA CLEIDE PENAFORTE CARVALHO
SÃO JOSÉ DE PIRANHAS,FRANCISCO MENDES CAMPOS
SÃO JOSÉ DE PRINCESA,ERENILSOM BEZERRA DE SIQUEIRA
SÃO JOSÉ DE PRINCESA,ONOFRE GALVAO FERREIRA CORDEIRO LOPES
SÃO JOSÉ DE PRINCESA,MARIA DINIZ DE ARAUJO
SÃO JOSÉ DO BONFIM,WAGNER MARQUES DANTAS
SÃO JOSÉ DO BONFIM,ROSALBA GOMES DA NÓBREGA
SÃO JOSÉ DO BONFIM,GENIVAL LEITE BEZERRA JUNIOR
SÃO JOSÉ DO BREJO DO CRUZ,MARIA DA NATIVIDADE SARAIVA MAIA
SÃO JOSÉ DO BREJO DO CRUZ,ANA MARIA DA SILVA OLIVEIRA
SÃO JOSÉ DO SABUGI,JOAO DOMICIANO DANTAS SEGUNDO
SÃO JOSÉ DO SABUGI,KARINE KELY CABRAL ALVES
SÃO JOSÉ DOS CORDEIROS,DIMAS DE ASSIS ALBUQUERQUE TEIXEIRA
SÃO JOSÉ DOS CORDEIROS,JEFFERSON ROBERTO DO NASCIMENTO PINTO DA SILVA
SÃO JOSÉ DOS RAMOS,EDUARDO GINDRE CAXIAS DE LIMA
SÃO JOSÉ DOS RAMOS,DAMIÃO GONÇALVES DE AMORIM NETO
SÃO JOÃO DO CARIRI,VALDILENE CORDEIRO DE MEDEIROS
SÃO JOÃO DO CARIRI,COSME GONÇALVES DE FARIAS
SÃO JOÃO DO CARIRI,FRANCISCO JOAQUIM DE LUCENA PEREIRA
SÃO JOÃO DO RIO DO PEIXE,MARIA VITORIA BARRTETO SANTOS
SÃO JOÃO DO RIO DO PEIXE,RIVALDO ALVES DE SOUSA
SÃO JOÃO DO RIO DO PEIXE,JOSÉ LAVOISIER GOMES DANTAS
SÃO JOÃO DO RIO DO PEIXE,JOSÉ AIRTON PIRES DE SOUSA
SÃO JOÃO DO TIGRE,SANDRA MARIA DE FREITAS MENDES
SÃO JOÃO DO TIGRE,JOSÉ MAUCÉLIO BARBOSA
SÃO MAMEDE,UMBERTO JEFFERSON DE MORAIS LIMA
SÃO MIGUEL DE TAIPU,RICARDO PEREIRA DA SILVA
SÃO MIGUEL DE TAIPU,CLODOALDO BELTRÃO BEZERRA DE MELO
SÃO SEBASTIÃO DE LAGOA DE ROÇA,GERLANIA FERREIRA SIMPLICIO
SÃO SEBASTIÃO DE LAGOA DE ROÇA,RAILTON TOMAZ FERNANDES
SÃO SEBASTIÃO DE LAGOA DE ROÇA,RAMALHO ALVES BEZERRA
SÃO SEBASTIÃO DE LAGOA DE ROÇA,MARIA DO SOCORRO CARDOSO
SÃO SEBASTIÃO DE LAGOA DE ROÇA,WALTER CORREIA DE BRITO FILHO
SÃO SEBASTIÃO DO UMBUZEIRO,EUDA CLÉLIA TORRES COSTA
SÃO SEBASTIÃO DO UMBUZEIRO,ADRIANO JERONIMO WOLFF
SÃO VICENTE DO SERIDÓ,GUTEMBERG CORDEIRO MARTINS
SÃO VICENTE DO SERIDÓ,MARIA GRACIETE DO NASCIMENTO DANTAS
SÃO VICENTE DO SERIDÓ,MANOEL CORDEIRO FILHO
TACIMA,ERIVAN BEZERRA DANIEL
TACIMA,LUIS RODRIGUES SOBRINHO
TAPEROÁ,JURANDI GOUVEIA FARIAS
TAPEROÁ,GEORGE CIRO MONTEIRO DE FARIAS
TAPEROÁ,DEOCLÉCIO MOURA FILHO
TAVARES,GENILDO JOSÉ DA SILVA
TAVARES,AILTON NIXON SUASSUNA PORTO
TEIXEIRA,EDMILSON ALVES DOS REIS
TEIXEIRA,WENCESLAU SOUZA MARQUES
TENÓRIO,EVILÁZIO DE ARAÚJO SOUTO
TENÓRIO,ADILSON CÉSAR MODESTO CONSERVA
TRIUNFO,JOSE CARLOS BORGES
TRIUNFO,JOAQUIM JUNIOR GONCALO FEITOSA
TRIUNFO,JOSÉ MANGUEIRA TORRES
UIRAÚNA,ANTÔNIO FERREIRA SOBRINHO
UIRAÚNA,JOÃO BOSCO NONATO FERNANDES
UMBUZEIRO,HELIO PEREIRA DE SALES
UMBUZEIRO,JOSÉ NIVALDO DE ARAÚJO
VIEIRÓPOLIS,ANTONIO CESAR BRAGA
VIEIRÓPOLIS,JOSÉ CELIO ARISTOTELES
VISTA SERRANA,MARIA DO SOCORRO MARQUES DANTAS
VISTA SERRANA,SERGIO GARCIA DA NOBREGA
VÁRZEA,WALDEMAR MARINHO FILHO
VÁRZEA,MARIA JOSE DE MEDEIROS
VÁRZEA,OTONI COSTA DE MEDEIROS
ZABELÊ,SEBASTIÃO DALYSON DE LIMA NEVES
ZABELÊ,SEBASTIÃO DE SOUSA FEITOSA FILHO
